Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSMUSG00000030103,Bhlhe40,3.6334885753709,0.6461254951543791,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015426294159441242,2.548294182996389,-0.32405833377171134,0.000000000000000000000000000007134072776523426,1.7598834440665552,-0.851076188520586,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000043315773945466384,2.3293609553117673,-0.4202846413483188,0.0000000000000000000000001582929949668788
ENSMUSG00000020042,Btbd11,0.44901724799920617,0.24148184684565344,0.000000000014321683405152233,0.5949562846499634,0.7310866453158791,0.00000000000000000000000000000000000000000000000000000000000000000000000000017567097812793916,0.20210838089031904,-1.1261462868649936,0.0000000000000000000000000000000000000000000000000000000000000006170664454228375,0.056740843783235365,-3.0189778198799146,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026379899749418942
ENSMUSG00000009075,Cabp7,0.7345785495395933,-2.640067628684668,0,3.9729910821755743,0.9789743233457591,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025605973756870945,2.840324037699785,0.20509224399468784,0.00015979412221703851,7.56765005600692,2.0099550761056886,0
ENSMUSG00000010066,Cacna2d2,0.49006506307976166,-0.06945040921365442,0.030922857361654787,0.8187350990661315,1.0471759609780076,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015763936360397223,0.23774751517700785,-1.1581962286787189,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000005254402426175231,0.08020510249058833,-2.7819475054424325,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018291000262415644
ENSMUSG00000028222,Calb1,1.3089884381273458,0.8244453592177863,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005377020632938755,0.41689268831124715,-1.5901900466945054,0,0.35386211398202616,-1.6686834891795654,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015884764580979506,1.827439130417208,0.942112492721381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000613777844132636
ENSMUSG00000003657,Calb2,0.12137004121816515,-3.6233668301734845,0,2.5918459236751135,4.154163729516016,0,0.3122448023311186,-1.3624672615640514,0.00000000000000000000000000000000000000000000000000000000000042406882560290494,0.11006870448176484,-2.916573195527047,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014954794661404931
ENSMUSG00000000805,Car4,1.3782377025572397,-0.16978202407501541,0.0000000042294882318399795,0.5908174583219638,-1.5613750496920509,0,3.7237147082124196,1.632348529332773,0,1.7101178368804433,0.26173920971708087,0.000000006124335580523586
ENSMUSG00000097324,Carmn,0.04982832768472069,-3.0337756424543265,0,0.3779500951341586,1.2342479661419874,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000748353127063152,0.8879892684851105,2.6809300761248247,0,0.03242333930470592,-2.8611356489099533,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002334209246792058
ENSMUSG00000031654,Cbln1,0.16453729037558812,-0.2908332555054023,0.000001950264571457385,0.33515086833325214,1.359502823543507,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002489826692678464,0.0710483386747538,-1.444420267078188,0.000000000000000000000000000000003077875159474893,0.018558095523088257,-3.4244293122800773,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002475880782703492
ENSMUSG00000067578,Cbln4,0.4684381847443794,1.4558334700205484,0,0.2598994805514386,-0.45075264168758733,0.00000000000000000000000015045010168927786,0.11404522971740415,-1.640600934517544,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007935128782721894,0.02111783283661767,-4.116061799579046,0
