PC,Proportion.Variance.Explained
1,0.07096631509175855
2,0.044828033637320464
3,0.042595581497258866
4,0.036708460538579096
5,0.03213673053922729
6,0.02753367439556978
7,0.02448691136291492
8,0.021946997901359077
9,0.02090309503895514
10,0.016920824536913178
