Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSMUSG00000020717,Pecam1,0.22766024343294222,-1.509991449414324,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026650329070345925,0.13340349507980861,-2.404354043242477,0,0.14195625725843003,-2.2819054229200813,0,4.044906935519608,4.688496051703776,0,0.09446392658992873,-2.666744648123851,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005949752724633063
ENSMUSG00000045573,Penk,0.37475644264894387,-0.9627493288184901,0.0000000000000000000000000000000000000000000000000000000000000000000000038941091963530944,0.7585036627979143,0.34198225358587636,0.0000000000005940544164677568,0.9158696174582468,0.747816751369704,0.00000000000000000000000000000000000000000000000000000003581452271177697,0.33709505871925527,-1.0062875053410163,0.000000000000000000000000000000000000891518608168405,0.5701953492132492,-0.19414192750499248,0.006313541087864308
ENSMUSG00000030413,Pglyrp1,0.13258703485465692,-1.3040208302776135,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006223048349296839,0.06487202379192689,-2.485972962434869,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023320167560882638,0.0976114899007873,-1.8219541848167713,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000956945520837142,1.9809594504764003,4.445869382145617,0,0.047978292286081185,-2.6781719227450678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010490375143573253
ENSMUSG00000024867,Pip5k1b,0.9157000902525009,-0.6197083571848907,0.00000000000000000000000000000000000000000000000000000000000000000001067521402599302,0.560727159493809,-1.4857521867246322,0,1.2288447384704544,-0.08961567467936893,0.007672603475584199,0.8567637934854858,-0.6392822431162172,0.00000000000000000000000000000000007018090970696688,4.509106527473212,2.3405566031281606,0
ENSMUSG00000019876,Pkib,0.15902807780263384,1.2972149037459442,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014308173456522823,0.05830165215146249,-0.7672872847636052,0.000000000000000000000000000000000197334122654093,0.08312435474809127,-0.10551886263918187,0.06943843650493028,0.06381896742743183,-0.4988999218410193,0.0000001443491590535078,0.037529686410445726,-1.317044608505253,0.0000000000000000000000000000000000013093882002179033
ENSMUSG00000036834,Plch1,0.3987156548509013,2.019083126935601,0,0.09098717183124104,-1.1604063068313293,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000820178722398432,0.11315865933294889,-0.7696464106387992,0.00000000000000000000000000000000000000000000000000012511862706438627,0.10987148238422328,-0.6998562800028933,0.000000000000000022658156406041883,0.07100787258340015,-1.3722679639614057,0.0000000000000000000000000000000000000000000000000000002047126555977058
ENSMUSG00000087141,Plcxd2,1.4672392460409873,-0.6880652757045063,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049177901781508577,2.3006281052977964,0.14314468448167084,0.000002319195644610276,3.556415007606965,1.1198764354691786,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127793963,1.1947939286505642,-0.9130792171031717,0.00000000000000000000000000000000000000000000000000000000000000000000000000281350729635322,0.7137037523622832,-1.7008570713087248,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017952742904760838
ENSMUSG00000049148,Plcxd3,0.40606569206026677,-1.160253193850899,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001316852787150015,1.6059984351565488,1.7914206039754705,0,0.5138516169709318,-0.7798824182436134,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017815467707694527,0.2550421005982715,-1.7250288521684498,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016521782294196728,0.6631666178209443,-0.27018177379536257,0.00000006806175459337044
ENSMUSG00000031557,Plekha2,0.5463845842390613,-0.14298690684520354,0.000616595650390754,0.42225033947642665,-0.6326599353804059,0.0000000000000000000000000000000000000000000000000000023125513208423312,0.15432332385219494,-2.272383413253196,0,0.6702160425437621,0.20765939635254715,0.0003641863493574438,2.090574122545511,2.3690605221815018,0
ENSMUSG00000038583,Pln,0.028350143521838088,-0.9601188497146875,0.00000000006217779592175724,0.03019044184162751,-0.8867884553793433,0.00000000013477514584920182,0.007508576146214407,-3.0646777938370233,0.000000000000000000000000000000000000000000000000000000000000000009973887488534815,0.3074063815643694,3.9432400741072167,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048692420410213663,0.005117684510515326,-3.3433731363668207,0.00000000000000000000000000000031903081355758236
