Barcode,UMAP-1,UMAP-2
1,-0.4223076558737698,-8.467215893021457
2,-0.8610633359715208,-8.466549944945498
3,-5.150872414057685,5.0653023533687
4,-3.4096658957879242,-9.189206985075051
5,-0.9753976577578688,-8.247823277514271
6,-4.509222063361093,-8.458529624926589
7,-2.415308686142642,-9.45702664241557
8,-4.447154150582447,-6.754522400630725
9,-3.447490368832146,-1.1843043889205367
10,-4.236792544522715,-8.684384754405373
11,-4.30470527229947,-4.072905931047969
12,-4.428736263678447,-8.925702230978898
13,-4.109692834580876,-8.561502581688258
14,-4.028349199533969,-9.102303912628596
15,-4.5262394520663385,-8.14706715550831
16,-1.8496182872032472,-9.390672062559867
17,-2.5129671012879733,-9.23970363430109
18,-4.05153381028709,-4.291352443612052
19,-0.6802983503482538,6.621223360955786
20,-5.139215380717934,5.168011488361103
21,-4.295508417221195,-7.828603179154773
22,-3.564811298368063,-9.270519938458207
23,-4.298398335893349,-4.062861479401653
24,-5.3106286556275135,4.189043493404995
25,-4.190088558021215,-8.648255499912448
26,-4.461589725846511,-7.594710662911566
27,-4.325693889508033,-7.041503489702915
28,-3.3431893844912612,-7.774168965332271
29,-4.440487651543755,-8.07237098559101
30,-1.2036529793304194,-0.28513084716063797
31,-4.439686886384481,-0.9757527311629091
32,-4.08368137143221,-8.413893680846186
33,-4.400128848298247,-7.249812690003251
34,-1.683550463036637,-2.9020913843716505
35,-4.3125417436239415,-7.059433291770232
36,-4.347651032940564,-7.0788653751823984
37,-4.300213914590341,-6.97430256211859
38,-5.481261737985168,4.450206625414737
39,4.354811506985497,1.4879801497038199
40,-4.337336699746402,-4.648085704466094
41,-4.339583593762629,-7.146773586632945
42,4.434564713587005,1.9793223525570283
43,-5.412159775075473,3.916638235425378
44,-4.456484844569194,5.2235663013450315
45,-5.288823829543245,4.077316118768993
46,-0.5015507136096701,6.197963167911341
47,-4.974334302034918,5.211238840402534
48,-4.3248913252636445,-6.928732336376403
49,-1.7921183743628168,2.694276576610239
50,-5.130343011964808,4.868941374738896
51,-0.607905709390464,6.741154628943132
52,-4.278437857929953,4.741955486016642
53,-4.344277289688524,4.783344841440242
54,-4.868827992841411,6.1165879260056295
55,-4.84027297049611,4.626406846933108
56,-5.506618354289335,4.703452112005697
57,-5.401126372528166,5.775439255728197
58,-4.4966876155022675,-2.394783512647688
59,-4.721699950829422,4.566375790691675
60,-0.6270835301475222,6.763572871340941
61,-4.004483464215014,-8.2942018478976
62,-3.7693970023487635,-9.15383201060775
63,-3.596959666915527,-9.238401829023196
64,-4.199608323750377,-7.056034748337946
65,-4.2007834865582305,-9.00098422265749
66,-0.8456169850239201,0.005994265148046907
67,0.12397459020307941,4.027877591519663
68,-0.078986752151541,3.356370527857885
69,-0.6446679727838058,0.43811712568174
70,-4.5479711460393695,-1.9917192467998266
71,-4.101336396344956,-5.8849579738131945
72,-4.368920835191082,-8.617716200190584
73,-4.139311841080544,-3.2066674156318524
74,-0.9139925396356195,0.29844928471219717
75,5.763088618274072,3.5499607436353533
76,-0.44363265021774034,6.27601231135772
77,7.317131431800987,7.805493676100889
78,-3.2029635565645775,-9.083362368494392
79,-0.703973592682548,-8.430640663542542
80,-0.6145444008422942,6.735546935783487
81,-3.3678673038775946,-7.610591808697277
82,-3.346943995050968,-8.838460153511363
83,-1.7001156525756906,-2.813883669713507
84,-4.216479912918748,-7.342360957258347
85,-1.67008998813389,-3.789004241159129
86,-2.608502057866777,-4.160415718176213
87,-3.7583525302080303,-8.192290742549954
88,-3.8336640304633747,-8.927135275835182
89,-4.01041026339425,-8.93537332678242
90,-0.4468790459709563,6.586736997708455
91,-4.551803287772094,-1.8484835628885343
92,-3.8242868029712356,-7.866998925691732
93,-2.3250670601171666,-9.262835255482038
94,-2.6844555326340918,-8.759849217696072
95,-2.4041055473505377,-7.756070596311079
96,-4.235715177786302,-8.272289816494744
97,-0.9483419271761634,-8.2811042235007
98,4.701137775281388,0.712953830386923
99,-2.9784494809166184,-9.02792275782696
100,5.127408988992974,1.4790980204470845
101,5.3433176628416765,1.5421091327267245
102,0.33942158201824996,-8.054198413674488
103,-4.318893375436747,-8.640450513210657
104,-4.489318280193499,-8.011908152519498
105,-3.5682738903430806,-9.112427579738528
106,-4.324296569889763,-4.504092429741224
107,-3.810887215469859,-8.659958179537895
108,-3.3263011649682586,-8.557349258809998
109,-2.522703041741366,-3.799311813072295
110,-5.9564507782445775,4.862751016884507
111,-1.8535826741760257,-1.5808101339873992
112,-4.608645409094459,-8.280171103760768
113,-5.261886796704255,4.508897310242143
114,-5.370654007539435,3.747862705112173
115,-4.5174022467124315,-8.60422425485814
116,-0.5793399218110417,6.537464180647408
117,-4.315293357599164,-7.166543219346031
118,-3.8810551101978126,4.539788394600919
119,-5.5121498633645,4.9558033434867745
120,-1.2763962779186808,-9.241046300791648
121,-3.889083597706284,-8.480468706499003
122,-1.5902145131124432,-9.485990113182385
123,-3.08133369659581,-0.5770388027562536
124,4.410772504102604,1.4264562228925002
125,-1.3665955560261445,2.8566417390770673
126,-4.31410521205433,-6.8174660276672565
127,-1.6221199559466066,-1.416835525414231
128,4.750899665716203,0.949471459462445
129,-4.045878017347308,-8.915755885649753
130,-3.588944430596028,3.9318943397538986
131,-4.574547300992643,-8.31521402930174
132,-4.602944114766933,-8.4917907548032
133,-4.366124499320987,-0.9010883761434277
134,-2.283088650033686,-9.46990891262793
135,-4.31933564058348,-8.624902194507209
136,-1.4634519298081607,2.4025081450154016
137,-4.210010844792706,-8.423917420268372
138,4.591022428013497,1.37609833413979
139,4.1610644946783175,0.15141828577533842
140,-4.11990318943171,-8.154014473012502
141,-4.452706726407282,-7.225513968459133
142,-3.9716611906519343,-7.749243440245291
143,-4.135071813679158,-6.145023794873348
144,-4.263322173141165,-7.04555567624034
145,-5.25952398570403,4.656566575685145
146,-4.386045681333672,-0.7256117813982308
147,-3.9073193582298575,-5.99414525938517
148,-4.313729569982867,-7.20067975094938
149,-2.043986568429806,-9.268953704187652
150,-0.3808084269722504,6.618180024980463
151,-3.721603128418119,-9.414219589813817
152,-1.7470361932551899,-3.4625306213801785
153,-1.8157532056768773,-9.48779223246337
154,-3.078709250211641,-9.017682462741103
155,-2.238212029525835,-6.776223080711708
156,0.13480019331758994,6.528437185047438
157,-1.6012521457460502,-8.244054050099093
158,-0.08304932596971432,-6.8101074899642615
159,-0.9588349775015163,-3.8545834891340967
160,-0.14122677640801798,-6.459525678632335
161,-4.196854102912895,-8.435468433783452
162,-3.9251136291372304,-8.939351052563891
163,-2.5839731618003454,-8.881865236060845
164,-2.4090790601193253,4.108742062692306
165,-2.331770164631462,-9.26866853930629
166,-3.3129327573709535,-8.213552088138986
167,-2.694787978821203,-8.658480724322494
168,-0.5543435268580978,-0.7432961923325955
169,0.22216679964229927,-7.40846156720705
170,-4.356653757452177,-7.632531697398657
171,-3.4132843646906186,-8.393541711791602
172,5.439384213337535,1.3161361868202675
173,-0.7618754725047178,-2.370998968466469
174,-1.4346375021172721,-2.9294041134807767
175,-5.310394655829465,5.847882149166701
176,0.33935171431691497,0.5088495695984477
177,4.688628541915987,-6.16521699397017
178,4.230923787267438,-6.2171239022888765
179,4.853067182733591,-6.6163450325598125
180,-3.246285629145364,-1.5834078189736243
181,4.433527715069547,-5.595135641132382
182,4.922737612322928,-6.387786609734795
183,5.112054410009276,-5.612531693325664
184,5.533894855612205,1.6906936722266797
185,-0.4978558163848807,-2.534115236817519
186,4.85895346269878,-4.967811599460732
187,4.451801293546167,-5.455157899978271
188,4.649113578436855,-5.47392329175427
189,-2.857033862282982,3.953487945839252
190,4.686192125726861,-6.315304509087973
191,1.3469764409370988,-0.5339675110266722
192,0.38037167017509926,-7.955479703494153
193,4.717145424742507,-4.9514230477340915
194,4.567481585615488,-5.3040486859685
195,4.073479500890168,-5.6242878100011335
196,-0.29215004080506257,-3.1866976049108073
197,2.6128465196403576,-2.960587994322126
198,4.37600583620159,-6.811819734571491
199,3.34801949667811,-7.068607595193668
200,3.7423606071822144,-6.7008851890591306
201,3.8662328364453575,-6.5264085038722035
202,3.4225372592246033,-7.064864015641518
203,3.1931309171636553,-6.487132548351438
204,4.589142415802087,-5.657269662092783
205,1.306434325836661,-0.39453633531247256
206,-0.6797321089828854,-3.1589790205031334
207,5.472680300985321,1.1877938280317095
208,0.4440694891376688,8.841752062293915
209,-0.9314176505849664,-3.5956360779218186
210,4.750830611757288,1.2285789926520985
211,0.0238799794033139,-1.0501917025368375
212,0.3400246246108688,-7.4101869302695045
213,-1.0354147193965955,-1.3600984211094138
214,0.7940570120432552,-7.6504255779969395
215,4.884948000571693,1.963397275776221
216,-0.12249691503212282,0.5321052939145924
217,3.8978494300605324,0.24012283399842044
218,0.08723909598446072,-7.744725766218518
219,-0.9651434915272961,-3.358008334566631
220,-1.3197818527481897,-3.265457882959793
221,-0.052839664123097235,-0.3383450309443995
222,0.5506928817720748,-7.693406258024485
223,-1.9487739793433065,-4.388436863476296
224,1.3129907306197373,-6.904862222522122
225,-0.12428277938790748,-7.658558413149967
226,1.2776770466260845,-7.520063517373423
227,1.125556611451746,-7.964826776590601
228,0.38428111417546007,-7.8306728277940225
229,-1.6621160346069646,-2.8531263507514173
230,0.5369180880948404,-7.157067148350326
231,-1.2701296699098223,-6.625781624609901
232,3.48844556936586,-6.7947449161329665
233,0.4340876956337978,-6.788912919423696
234,-0.17983818838587967,-8.052245141043192
235,-1.442327798103167,-2.67037244678718
236,0.3535972464743256,6.462546341532694
237,-2.5525427594677237,-0.6935547529641752
238,5.760436567508313,0.15463973839374645
239,-3.1059005598064915,-8.015167191689834
240,-1.5153750157155135,-2.706495370086948
241,4.535176106087498,3.0022456641708217
242,0.9111718405524204,-7.524896142704597
243,5.00189257817483,1.0143247620396376
244,-1.3998127921888142,-8.709713996219602
245,-0.3270161350133762,-0.03424514422431374
246,5.214046964160217,1.2514130718295162
247,-0.9054816972338657,-9.02915295722979
248,-3.8944901231972215,-8.541502617414851
249,-3.4953988584858102,-9.039215863182664
250,-0.6095152456373512,-7.790795774397028
251,4.3464194119314685,-5.3639680138555565
252,5.998989437392034,3.013725736999414
253,4.47599572705857,-6.786162371162894
254,6.237411039741258,3.784119702653505
255,-0.9666779597442438,-2.9199586691689787
256,4.534148019040612,-6.491758156854147
257,1.6028399171705434,5.734265900563387
258,-0.31086482961829437,-3.400885236739424
259,3.954517699348466,-6.9941315524617105
260,4.229296656275402,-5.965568200272747
261,4.705394770751587,-6.51197091881856
262,6.182000169691441,3.3390512328864377
263,3.5038726118735455,-6.698190184952351
264,4.163717188913797,-5.588003666858696
265,6.061693067525587,3.527620888567269
266,6.913822382302169,5.682862288313237
267,7.116074908487344,7.426595646631599
268,-1.3788667718393368,-3.2132304141235206
269,5.014381701013436,-6.352973083304544
270,4.412420591290519,-5.693385477205085
271,3.9329534683544405,-5.124713564502054
272,4.2821032652155955,-5.803799660417462
273,4.303426399070967,-5.902497667511444
274,4.59007410224068,-5.194647148426071
275,4.0384181099788945,-6.643033477738742
276,4.345700743486824,-6.288343021242838
277,4.039088000194306,-5.054200039112385
278,2.398829106220187,-2.0924681247096486
279,5.813893838533671,0.4534977071419296
